Naam;Type;Adres;Postcode;Telefoon;website;aanmelden;Leeftijd;Specialisatie;;
OKT Amsterdam;Ouder- en Kindteams (OKT);Doctor Willem Dreesweg 2; 1185 VB Amstelveen;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT Amstelveen-Zuid-Oost;
OKT Amsterdam;Ouder- en Kindteams (OKT);Burgemeester Eliasstraat 1; 1055 NA Amsterdam;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT Centrum-Zuid;
OKT Amsterdam;Ouder- en Kindteams (OKT);Bijlmerdreef 1001-A; 1103 TW Amsterdam;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT Zuidoost-Noord;
OKT Amsterdam;Ouder- en Kindteams (OKT);Baarsjesweg 224; 1058 AA Amsterdam;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT West-Zuid;
OKT Amsterdam;Ouder- en Kindteams (OKT);Eerste Oosterparkstraat 88; 1091 GZ Amsterdam;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT Oost-Zuid;
OKT Amsterdam;Ouder- en Kindteams (OKT);Hilversumstraat 338; 1024MB Amsterdam;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT Noord-Zuid;
OKT Amsterdam;Ouder- en Kindteams (OKT);Johan Cruijff Boulevard 83; 1101DM Amsterdam;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT Nieuw-West-Noord;
OKT Amsterdam;Ouder- en Kindteams (OKT);Modemstraat 20C; 1033 RW Amsterdam;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT Noord-Oost-Noord;
OKT Amsterdam;Ouder- en Kindteams (OKT);Admiraal de Ruijterweg 454; 1055NG Amsterdam;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT Zuid-Noord;
OKT Amsterdam;Ouder- en Kindteams (OKT);Houtmankade 334-2; 1013 RR Amsterdam;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT Zuid-Oost-Zuid;
OKT Amsterdam;Ouder- en Kindteams (OKT);Van Hallstraat 10; 1051HH Amsterdam;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT Westpoort-Noord;
OKT Amsterdam;Ouder- en Kindteams (OKT);Overschiestraat 57; 1062HN Amsterdam;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT Zuid-West-Zuid;
OKT Amsterdam;Ouder- en Kindteams (OKT);Veenplaats 19; 1182JW Amstelveen;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT Amstelveen-Zuid-West;
OKT Amsterdam;Ouder- en Kindteams (OKT);Doctor Willem Dreesweg 2; 1185 VB Amstelveen;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT Amstelveen-Zuid-Oost-Noord;
Philadelphia;Hoogspecialistische Jeugdhulp (HSJH);Jekerstraat 84; 1078MG Amsterdam;088-0830;https://www.philadelphia.nl;https://www.philadelphia.nl/aanmelden;0-19 jaar;Jeugdzorg, verstandelijke beperking, ontwikkelingsproblematiek;;
PsyGRO;Enkelvoudige Specialistische Jeugdhulp (ESJH);Doctor Willem Dreesweg 2; 1185 VB Amstelveen;0299-607459;https://www.psygro.nl/;https://inter-psy.nl/verwijzers/;4-18 jaar;Jeugd GGZ, angst, depressie, trauma;IHUB Care Express;
RIOzorg Amsterdam Zuidoost;Enkelvoudige Specialistische Jeugdhulp (ESJH);Bijlmerdreef 1001-A; 1103 TW Amsterdam;026 820 02 08;https://riozorg.nl/locatie/amsterdam-zuidoost-en-weesp/;https://riozorg.secuform.nl;4-18 jaar;Concentratieproblemen, AD(H)D, Gedragsproblemen, Autisme, Trauma, Angst, Tics, Dwang, Somberheid;;
RIOzorg Weesp;Enkelvoudige Specialistische Jeugdhulp (ESJH);C.J. van Houtenlaan 1G; 1381 CN Weesp;026 820 02 08;https://riozorg.nl/locatie/amsterdam-zuidoost-en-weesp/;https://riozorg.secuform.nl;4-18 jaar;Concentratieproblemen, AD(H)D, Gedragsproblemen, Autisme, Trauma, Angst, Tics, Dwang, Somberheid;;
STEP;Enkelvoudige Specialistische Jeugdhulp (ESJH);Amsterdam;;;https://stepjeugdhulp.nl;https://stepjeugdhulp.nl/#aanmelden;0-23 jaar;Enkelvoudige specialistische jeugdhulp;;
Stichting JA;Hoogspecialistische Jeugdhulp (HSJH);Eerste Oosterparkstraat 88; 1091 GZ Amsterdam;020-6659593;https://www.ja-amsterdam.nl;https://aanmelden.ja-amsterdam.nl ;0-23 jaar;Jeugd GGZ, gezinstherapie, traumabehandeling, psychosociaal functioneren, gezin en opvoeding;;nee
Terminal 18;Enkelvoudige Specialistische Jeugdhulp (ESJH);Admiraal de Ruijterweg 454; 1055NG Amsterdam;020-3088717;https://www.terminal18.nl;https://www.terminal18.nl/aanmelden;12-18 jaar;Jeugdhulp, jongerencoaching, toekomstbegeleiding;;
Timon;Enkelvoudige Specialistische Jeugdhulp (ESJH);Modemstraat 20C; 1033 RW Amsterdam;06-11793785;https://www.timon.nl;https://www.timon.nl/aanmelden;0-23 jaar;Jeugdhulp, pleegzorg, gezinsbegeleiding;;
Youz;Enkelvoudige Specialistische Jeugdhulp (ESJH);Overschiestraat 57; 1062HN Amsterdam;088-3588330;https://youz.nl/;https://www.youz.nl/aanmelden;0-23 jaar;Jeugd GGZ, verslaving, gedragsproblemen, autisme;;
Zigzag Kindzorg;Enkelvoudige Specialistische Jeugdhulp (ESJH);Albardagracht 1; 1063 NN Amsterdam;020 Ð 49 41 296;https://www.zigzagkindzorg.nl;https://www.zigzagkindzorg.nl/aanmelden;0-7 jaar;Ontwikkelingsbeperkingen, autisme, ADHD, verstandelijke beperking, ergotherapie, logopedie, fysiotherapie;Zigzag Kindzorg Amsterdam-West;
Zigzag Kindzorg;Enkelvoudige Specialistische Jeugdhulp (ESJH);Amsteldijk 196; 1079 LK Amsterdam;020 Ð 49 41 296;https://www.zigzagkindzorg.nl;https://www.zigzagkindzorg.nl/aanmelden;0-7 jaar;Ontwikkelingsbeperkingen, autisme, ADHD, verstandelijke beperking, ergotherapie, logopedie, fysiotherapie;Zigzag Kindzorg Amsterdam-Zuid;
Kabouterhuis;Enkelvoudige Specialistische Jeugdhulp (ESJH);Marne 127; 1186 PJ Amstelveen;020 Ð 810 03 60;https://kabouterhuis.nl;https://kabouterhuis.nl/over-ons/contact/vestigingen/aanmelden/;0-7 jaar;Autisme, ADHD, ontwikkelingsstoornissen, onderzoek, hulp thuis, kinderopvang en school, groepsbehandeling, therapie;Kabouterhuis Amstelveen;
Kabouterhuis;Enkelvoudige Specialistische Jeugdhulp (ESJH);Amsteldijk 196; 1079 LK Amsterdam;020 Ð 644 53 51;https://kabouterhuis.nl;https://kabouterhuis.nl/over-ons/contact/vestigingen/aanmelden/;0-7 jaar;Autisme, ADHD, ontwikkelingsstoornissen, onderzoek, hulp thuis, kinderopvang en school, groepsbehandeling, therapie;Kabouterhuis Amsterdam Zuid;
Kabouterhuis;Enkelvoudige Specialistische Jeugdhulp (ESJH);Kopjachtplein 20; 1034 JG Amsterdam;020 Ð 630 46 30;https://kabouterhuis.nl;https://kabouterhuis.nl/over-ons/contact/vestigingen/aanmelden/;0-7 jaar;Autisme, ADHD, ontwikkelingsstoornissen, onderzoek, hulp thuis, kinderopvang en school, groepsbehandeling, therapie;Kabouterhuis Amsterdam Noord;
Kabouterhuis;Enkelvoudige Specialistische Jeugdhulp (ESJH);Albardagracht 1; 1063 NN Amsterdam;020 Ð 613 85 85;https://kabouterhuis.nl;https://kabouterhuis.nl/over-ons/contact/vestigingen/aanmelden/;0-7 jaar;Autisme, ADHD, ontwikkelingsstoornissen, onderzoek, hulp thuis, kinderopvang en school, groepsbehandeling, therapie;Kabouterhuis Amsterdam West;
Kabouterhuis;Enkelvoudige Specialistische Jeugdhulp (ESJH);Leksmondplein 28; 1108 EL Amsterdam;020 Ð 453 01 91;https://kabouterhuis.nl;https://kabouterhuis.nl/over-ons/contact/vestigingen/aanmelden/;0-7 jaar;Autisme, ADHD, ontwikkelingsstoornissen, onderzoek, hulp thuis, kinderopvang en school, groepsbehandeling, therapie;Kabouterhuis Amsterdam Zuidoost;
